time,sensor,value
19:56:33,CEGT1,27.616
19:56:33,CEGT2,27.51
19:56:33,CCHT1,30.526
19:56:33,CCHT2,29.98
19:56:33,LFUELL,0.019905
19:56:33,LFUELR,0.01751
19:56:33,PFUEL,7503.1
19:56:33,POIL,11735.0
19:56:33,0RPM,0.0
19:56:33,PMAN,93799.0
19:56:33,VVOLTS1,11.631
19:56:33,VVOLTS2,13.688
19:56:43,CEGT1,27.617
19:56:43,CEGT2,27.511
19:56:43,CCHT1,30.526
19:56:43,CCHT2,29.98
19:56:43,LFUELL,0.019909
19:56:43,LFUELR,0.01751
19:56:43,PFUEL,7497.9
19:56:43,POIL,11712.0
19:56:43,0RPM,0.0
19:56:43,PMAN,93809.0
19:56:43,VVOLTS1,11.63
19:56:43,VVOLTS2,13.686
19:56:43,AAMPS,-3.8189
19:56:43,0ELEVATOR,67.721
19:56:53,CEGT1,27.62
19:56:53,CEGT2,27.475
19:56:53,CCHT1,30.526
19:56:53,CCHT2,29.98
19:56:53,LFUELL,0.019912
19:56:53,LFUELR,0.01751
19:56:53,PFUEL,7492.0
19:56:53,POIL,11794.0
19:56:53,0RPM,0.0
19:56:53,PMAN,93799.0
19:56:53,VVOLTS1,11.627
19:56:53,VVOLTS2,13.685
19:56:53,AAMPS,-3.8273
19:56:53,0ELEVATOR,67.721
19:57:04,CEGT1,27.645
19:57:04,CEGT2,27.421
19:57:04,CCHT1,30.526
19:57:04,CCHT2,29.98
19:57:04,LFUELL,0.019912
19:57:04,LFUELR,0.01751
19:57:04,PFUEL,7492.1
19:57:04,POIL,11707.0
19:57:04,0RPM,0.0
19:57:04,PMAN,93802.0
19:57:04,VVOLTS1,11.624
19:57:04,VVOLTS2,13.684
19:57:04,AAMPS,-3.823
19:57:04,0ELEVATOR,67.72
19:57:14,CEGT1,27.642
19:57:14,CEGT2,27.418
19:57:14,CCHT1,30.526
19:57:14,CCHT2,29.98
19:57:14,LFUELL,0.019918
19:57:14,LFUELR,0.017509
19:57:14,PFUEL,7494.7
19:57:14,POIL,11765.0
19:57:14,0RPM,0.0
19:57:14,PMAN,93789.0
19:57:14,VVOLTS1,11.621
19:57:14,VVOLTS2,13.683
19:57:14,AAMPS,-3.8267
19:57:14,0ELEVATOR,67.721
19:57:24,CEGT1,27.642
19:57:24,CEGT2,27.418
19:57:24,CCHT1,30.526
19:57:24,CCHT2,29.981
19:57:24,LFUELL,0.019917
19:57:24,LFUELR,0.01751
19:57:24,PFUEL,7487.3
19:57:24,POIL,11770.0
19:57:24,0RPM,0.0
19:57:24,PMAN,93799.0
19:57:24,VVOLTS1,11.619
19:57:24,VVOLTS2,13.682
19:57:24,AAMPS,-3.8235
19:57:24,0ELEVATOR,67.719
19:57:55,CEGT1,27.647
19:57:55,CEGT2,27.423
19:57:55,CCHT1,30.525
19:57:55,CCHT2,29.981
19:57:55,LFUELL,0.01992
19:57:55,LFUELR,0.01751
19:57:55,PFUEL,7464.4
19:57:55,POIL,11750.0
19:57:55,0RPM,0.0
19:57:55,PMAN,93796.0
19:57:55,VVOLTS1,11.612
19:57:55,VVOLTS2,13.679
19:57:55,AAMPS,-3.823
19:57:55,0ELEVATOR,67.718
19:58:05,CEGT1,27.651
19:58:05,CEGT2,27.427
19:58:05,CCHT1,30.525
19:58:05,CCHT2,29.981
19:58:05,LFUELL,0.019911
19:58:05,LFUELR,0.017509
19:58:05,PFUEL,7460.9
19:58:05,POIL,11711.0
19:58:05,0RPM,0.0
19:58:05,PMAN,93796.0
19:58:05,VVOLTS1,11.609
19:58:05,VVOLTS2,13.677
19:58:05,AAMPS,-3.8242
19:58:05,0ELEVATOR,67.72
19:58:15,CEGT1,27.652
19:58:15,CEGT2,27.428
19:58:15,CCHT1,30.525
